Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
214,  -0.160, -0.638,  0.853, 38.920, 50.010, 23.910,  4.640,  0.610, -0.060, 31.920, 37.560, 96.940, 247, 315
215,  -0.034, -0.599,  0.857, 93.160, 54.250, 18.640,  4.390,  1.100, -0.180, 31.900, 37.620, 96.940, 248, 442
216,  -0.038, -0.486,  0.773, 147.730, 54.280, 13.760,  4.330,  1.040,  0.000, 31.890, 37.590, 96.940, 251, 384
217,  -0.119, -0.537,  0.799, 183.850, 55.200, 11.100,  4.760,  0.670,  0.060, 31.940, 37.570, 96.890, 248, 338
218,  -0.102, -0.609,  0.886, 186.730, 57.020,  8.090,  4.580,  1.100,  0.000, 31.900, 37.630, 96.880, 249, 460
219,  -0.053, -0.568,  0.836, 152.860, 61.220,  5.580,  4.390,  0.850,  0.000, 31.890, 37.570, 96.830, 249, 268
220,  -0.050, -0.485,  0.763, 109.660, 64.450,  4.570,  4.760,  0.610,  0.240, 31.900, 37.580, 96.860, 248, 257
221,  -0.092, -0.571,  0.845, 81.850, 62.270,  6.160,  4.460,  1.040, -0.120, 31.890, 37.600, 96.860, 248, 273
222,  -0.121, -0.557,  0.888, 35.010, 57.980, 11.890,  4.330,  0.850, -0.060, 31.900, 37.590, 96.850, 247, 351
223,  -0.016, -0.616,  0.770, -25.000, 55.790, 17.740,  4.820,  0.730,  0.310, 31.870, 37.640, 96.880, 250, 300
224,  -0.029, -0.498,  0.779, -69.530, 55.760, 20.920,  4.820,  1.160, -0.060, 31.870, 37.670, 96.890, 248, 285
225,  -0.123, -0.543,  0.860, -85.290, 54.240, 23.510,  4.270,  1.100,  0.000, 31.870, 37.570, 96.940, 247, 347
226,  -0.098, -0.655,  0.845, -65.420, 51.180, 26.440,  4.820,  0.610,  0.180, 31.900, 37.680, 96.940, 247, 315
227,   0.012, -0.537,  0.797, -20.280, 47.830, 27.380,  4.460,  1.340, -0.180, 31.900, 37.480, 96.940, 249, 366
228,  -0.062, -0.428,  0.802, 23.070, 48.610, 26.420,  4.270,  1.040,  0.060, 31.900, 37.650, 96.940, 248, 274
229,  -0.144, -0.653,  0.861, 69.680, 53.200, 20.610,  4.880,  0.790,  0.310, 31.900, 37.600, 96.940, 247, 312
230,  -0.035, -0.585,  0.862, 127.380, 54.610, 15.280,  4.390,  1.220,  0.060, 31.890, 37.620, 96.940, 248, 251
231,   0.008, -0.488,  0.770, 173.180, 55.550, 11.610,  4.520,  0.730,  0.120, 31.900, 37.660, 96.940, 249, 353
232,  -0.114, -0.549,  0.795, 189.310, 56.510, 10.020,  4.640,  0.610,  0.000, 31.890, 37.630, 96.940, 248, 350
233,  -0.106, -0.627,  0.903, 170.390, 59.080,  6.240,  4.330,  1.340, -0.310, 31.920, 37.580, 96.940, 246, 307
234,  -0.042, -0.573,  0.813, 126.160, 63.280,  3.810,  4.460,  0.610,  0.060, 31.870, 37.630, 96.940, 248, 310
235,  -0.041, -0.513,  0.730, 97.490, 64.390,  5.110,  4.700,  1.100, -0.060, 31.900, 37.570, 96.940, 249, 296
236,  -0.088, -0.528,  0.856, 66.020, 60.050,  8.900,  4.520,  1.340, -0.240, 31.890, 37.580, 96.940, 248, 335
237,  -0.122, -0.599,  0.889, 10.940, 56.400, 13.980,  4.330,  0.790,  0.000, 31.900, 37.670, 96.940, 249, 359
238,   0.029, -0.609,  0.778, -43.570, 55.250, 18.510,  4.390,  1.160, -0.180, 31.890, 37.600, 96.940, 250, 351
239,  -0.034, -0.461,  0.813, -78.560, 54.420, 20.870,  4.330,  1.220, -0.240, 31.850, 37.570, 96.940, 249, 431
240,  -0.143, -0.582,  0.864, -81.970, 53.320, 24.820,  4.150,  0.670,  0.000, 31.870, 37.660, 96.940, 249, 303
241,  -0.058, -0.619,  0.865, -51.500, 50.060, 26.680,  4.580,  1.100,  0.060, 31.890, 37.610, 96.940, 249, 326
242,   0.015, -0.586,  0.786, -8.130, 45.620, 28.970,  4.090,  0.920,  0.000, 31.890, 37.560, 96.940, 247, 395
243,  -0.088, -0.432,  0.799, 17.700, 47.860, 27.590,  4.330,  0.790,  0.000, 31.900, 37.660, 96.940, 247, 250
244,  -0.117, -0.638,  0.892, 59.920, 52.160, 22.290,  4.640,  1.040,  0.000, 31.900, 37.520, 96.940, 246, 334
245,  -0.056, -0.555,  0.837, 117.960, 54.420, 17.360,  4.090,  1.100, -0.060, 31.900, 37.640, 96.940, 248, 271
246,  -0.043, -0.480,  0.786, 166.090, 54.600, 12.370,  4.030,  0.670,  0.240, 31.890, 37.660, 96.940, 247, 369
247,  -0.081, -0.551,  0.824, 189.010, 55.680, 10.400,  4.580,  0.730,  0.000, 31.870, 37.600, 96.940, 247, 359
248,  -0.128, -0.549,  0.880, 178.990, 58.170,  8.330,  4.150,  0.920, -0.120, 31.890, 37.630, 96.940, 248, 326
249,  -0.043, -0.641,  0.793, 138.150, 62.070,  5.330,  4.820,  0.610,  0.060, 31.870, 37.570, 96.940, 248, 331
250,  -0.018, -0.526,  0.756, 104.500, 65.050,  4.600,  4.640,  0.850,  0.120, 31.890, 37.640, 96.940, 250, 291
251,  -0.110, -0.510,  0.844, 75.980, 60.970,  7.450,  3.970,  0.850, -0.120, 31.890, 37.560, 96.940, 247, 357
252,  -0.116, -0.651,  0.864, 25.950, 57.680, 12.790,  4.700,  0.730,  0.000, 31.870, 37.610, 96.940, 248, 389
253,   0.004, -0.619,  0.796, -31.850, 55.460, 18.350,  4.270,  1.400, -0.120, 31.870, 37.600, 96.940, 248, 280
254,  -0.045, -0.420,  0.784, -72.710, 55.040, 21.310,  4.150,  0.980, -0.060, 31.870, 37.630, 96.940, 249, 351
255,  -0.144, -0.626,  0.848, -84.480, 53.330, 25.460,  4.760,  0.730,  0.060, 31.900, 37.660, 96.950, 248, 344
256,  -0.052, -0.572,  0.903, -60.900, 50.570, 26.340,  4.270,  1.280, -0.180, 31.890, 37.600, 96.940, 248, 277
257,  -0.002, -0.549,  0.777, -15.380, 46.520, 28.330,  4.270,  1.100,  0.120, 31.900, 37.610, 96.940, 247, 345
258,  -0.104, -0.490,  0.786, 11.450, 47.550, 28.210,  4.820,  0.670,  0.060, 31.850, 37.600, 96.940, 249, 318
