Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
105,  -0.069, -0.555,  0.828, 52.650, 55.800, 15.980,  4.700,  0.980,  0.000, 32.050, 37.550, 96.940, 247, 2
106,  -0.069, -0.556,  0.827, 52.610, 56.040, 16.870,  4.580,  0.980,  0.120, 32.010, 37.530, 96.940, 247, 30
107,  -0.070, -0.557,  0.828, 52.510, 55.420, 16.320,  4.270,  1.040,  0.000, 32.010, 37.500, 96.940, 248, 56
108,  -0.069, -0.556,  0.827, 52.500, 55.730, 15.730,  4.640,  0.850, -0.060, 31.990, 37.610, 96.940, 248, 34
109,  -0.070, -0.557,  0.828, 52.220, 55.740, 15.380,  4.580,  0.850, -0.060, 32.060, 37.560, 96.940, 247, 61
110,  -0.070, -0.557,  0.827, 51.950, 55.270, 16.020,  4.390,  1.040, -0.120, 31.990, 37.470, 96.940, 247, 27
111,  -0.069, -0.557,  0.828, 52.200, 55.350, 15.010,  4.640,  0.980,  0.060, 32.030, 37.590, 96.940, 249, 48
112,  -0.069, -0.556,  0.827, 52.420, 55.190, 16.430,  4.330,  1.100,  0.060, 32.050, 37.530, 96.940, 248, 64
113,  -0.070, -0.557,  0.828, 51.780, 55.660, 15.640,  4.270,  0.920,  0.000, 32.030, 37.460, 96.940, 249, 99
114,  -0.069, -0.556,  0.826, 52.170, 55.650, 16.820,  4.640,  0.920, -0.060, 32.050, 37.570, 96.940, 249, 31
115,  -0.069, -0.556,  0.827, 52.290, 55.820, 16.240,  4.390,  0.980, -0.060, 32.030, 37.560, 96.940, 248, 25
116,  -0.069, -0.558,  0.829, 51.840, 55.600, 16.630,  4.270,  0.850,  0.000, 32.030, 37.570, 96.940, 247, 15
117,  -0.069, -0.556,  0.827, 52.220, 55.630, 16.650,  4.580,  1.040,  0.000, 32.010, 37.490, 96.940, 248, 19
118,  -0.069, -0.556,  0.827, 52.250, 55.360, 16.500,  4.520,  0.920,  0.060, 32.060, 37.510, 96.940, 247, 27
119,  -0.070, -0.556,  0.827, 52.090, 55.750, 16.580,  4.330,  0.850,  0.060, 32.030, 37.580, 96.940, 247, 54
120,  -0.070, -0.556,  0.827, 51.840, 55.480, 16.140,  4.580,  0.850, -0.060, 32.050, 37.540, 96.940, 246, 44
121,  -0.070, -0.556,  0.828, 53.020, 55.590, 15.490,  4.270,  0.980,  0.060, 32.030, 37.510, 96.940, 247, -1
122,  -0.069, -0.556,  0.828, 52.490, 55.600, 16.610,  4.390,  0.920, -0.060, 32.030, 37.540, 96.940, 247, 28
123,  -0.069, -0.556,  0.827, 52.190, 55.870, 15.220,  4.460,  0.980, -0.060, 32.050, 37.550, 96.930, 249, 43
124,  -0.070, -0.556,  0.828, 52.190, 55.150, 16.160,  4.210,  0.850, -0.060, 32.050, 37.540, 96.940, 247, 31
125,  -0.069, -0.555,  0.828, 52.450, 55.430, 17.220,  4.460,  0.920, -0.060, 32.030, 37.550, 96.940, 252, 23
126,  -0.069, -0.556,  0.828, 52.500, 55.930, 16.540,  4.520,  0.850,  0.120, 32.030, 37.490, 96.940, 247, 21
127,  -0.070, -0.556,  0.828, 52.610, 55.630, 16.280,  4.580,  0.920,  0.000, 32.050, 37.550, 96.940, 252, 15
128,  -0.069, -0.556,  0.827, 51.700, 55.570, 17.290,  4.330,  0.920,  0.000, 32.060, 37.550, 96.940, 247, 30
129,  -0.070, -0.556,  0.828, 52.280, 55.530, 16.810,  4.580,  0.980,  0.120, 32.010, 37.510, 96.940, 247, 36
130,  -0.069, -0.556,  0.827, 51.840, 55.980, 16.270,  4.760,  0.980,  0.000, 32.030, 37.520, 96.940, 248, 33
