Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
596,  -0.034, -0.528,  0.813, 156.040, 55.220, 11.660,  4.460,  1.100, -0.180, 31.810, 37.770, 96.940, 250, 140
597,  -0.057, -0.500,  0.816, 164.090, 56.840,  9.830,  4.090,  1.160, -0.240, 31.810, 37.800, 96.930, 248, 149
598,  -0.102, -0.611,  0.850, 142.470, 60.800,  7.650,  4.640,  0.790,  0.240, 31.810, 37.840, 96.940, 247, 175
599,  -0.065, -0.558,  0.858, 108.670, 64.370,  5.410,  4.820,  0.850, -0.060, 31.830, 37.770, 96.850, 248, 161
600,  -0.016, -0.512,  0.809, 89.040, 62.600,  6.700,  4.210,  1.100, -0.060, 31.870, 37.790, 96.860, 249, 124
601,  -0.092, -0.562,  0.801, 54.240, 58.580, 10.580,  4.820,  0.850,  0.060, 31.810, 37.800, 96.860, 247, 177
602,  -0.104, -0.602,  0.844,  4.540, 55.790, 15.930,  4.820,  0.790,  0.000, 31.850, 37.750, 96.850, 247, 197
603,  -0.032, -0.557,  0.846, -38.390, 55.000, 20.460,  4.150,  0.980,  0.060, 31.850, 37.760, 96.870, 249, 144
604,  -0.049, -0.536,  0.768, -58.130, 53.880, 22.610,  4.520,  1.160,  0.120, 31.850, 37.750, 96.850, 246, 171
605,  -0.097, -0.568,  0.813, -48.540, 50.940, 24.270,  4.700,  0.790,  0.000, 31.810, 37.730, 96.870, 246, 179
606,  -0.085, -0.568,  0.865, -12.840, 47.180, 26.980,  4.330,  0.920, -0.180, 31.830, 37.780, 96.910, 247, 167
607,  -0.037, -0.582,  0.799,  8.410, 46.740, 27.610,  4.520,  0.980,  0.060, 31.810, 37.780, 96.940, 247, 164
608,  -0.087, -0.541,  0.770, 33.180, 49.670, 23.770,  4.940,  0.730, -0.120, 31.830, 37.890, 96.930, 247, 187
609,  -0.097, -0.547,  0.856, 77.440, 55.860, 17.360,  4.820,  1.040, -0.060, 31.810, 37.750, 96.940, 246, 117
610,  -0.079, -0.584,  0.863, 144.140, 55.270, 12.960,  4.270,  0.980, -0.180, 31.850, 37.780, 96.940, 249, 139
611,  -0.053, -0.598,  0.777, 164.260, 56.310, 10.740,  4.820,  0.980, -0.060, 31.810, 37.790, 96.940, 247, 96
612,  -0.076, -0.520,  0.806, 154.660, 58.870,  9.480,  4.390,  0.920, -0.060, 31.850, 37.790, 96.940, 250, 107
613,  -0.088, -0.548,  0.874, 121.870, 62.620,  7.340,  4.210,  1.040, -0.120, 31.810, 37.860, 96.940, 246, 169
614,  -0.068, -0.621,  0.840, 99.540, 64.000,  4.860,  4.520,  0.920,  0.000, 31.850, 37.700, 96.940, 250, 164
615,  -0.042, -0.549,  0.777, 74.600, 60.310,  8.500,  4.760,  0.850,  0.000, 31.830, 37.710, 96.930, 250, 133
616,  -0.077, -0.500,  0.840, 31.210, 56.670, 12.490,  4.210,  1.100, -0.060, 31.870, 37.860, 96.930, 247, 157
617,  -0.075, -0.564,  0.883, -17.470, 55.700, 17.980,  4.030,  1.160, -0.120, 31.850, 37.710, 96.940, 247, 134
618,  -0.068, -0.601,  0.807, -50.260, 54.650, 20.890,  4.880,  0.850,  0.120, 31.850, 37.740, 96.940, 249, 123
619,  -0.047, -0.502,  0.799, -58.150, 52.750, 24.660,  4.460,  0.920, -0.180, 31.850, 37.820, 96.940, 244, 124
620,  -0.072, -0.516,  0.846, -36.600, 49.300, 26.220,  3.910,  1.160,  0.000, 31.850, 37.830, 96.930, 247, 121
621,  -0.110, -0.608,  0.837, -4.170, 46.300, 28.470,  4.150,  0.850,  0.060, 31.870, 37.780, 96.940, 247, 126
622,  -0.041, -0.560,  0.818, 15.300, 47.330, 27.260,  4.270,  0.790, -0.060, 31.850, 37.810, 96.940, 248, 154
623,  -0.041, -0.484,  0.825, 47.140, 50.950, 23.670,  4.030,  1.100,  0.000, 31.870, 37.760, 96.930, 250, 145
624,  -0.094, -0.556,  0.855, 94.240, 53.690, 19.190,  4.030,  0.920,  0.060, 31.870, 37.770, 96.930, 248, 113
625,  -0.092, -0.597,  0.854, 138.620, 54.710, 14.580,  4.700,  0.850,  0.000, 31.850, 37.750, 96.940, 249, 139
626,  -0.035, -0.527,  0.829, 161.840, 55.660, 11.850,  3.970,  0.850, -0.240, 31.810, 37.820, 96.940, 251, 132
627,  -0.054, -0.497,  0.823, 157.300, 57.820,  8.440,  4.090,  0.850, -0.060, 31.890, 37.720, 96.940, 248, 118
628,  -0.109, -0.600,  0.842, 127.710, 62.040,  5.870,  4.520,  0.790,  0.000, 31.870, 37.780, 96.930, 248, 143
629,  -0.078, -0.565,  0.858, 102.970, 64.110,  4.630,  4.150,  0.980,  0.000, 31.850, 37.780, 96.930, 244, 122
630,  -0.016, -0.523,  0.811, 80.250, 61.380,  7.580,  4.030,  1.220,  0.000, 31.850, 37.860, 96.930, 250, 204
631,  -0.087, -0.540,  0.800, 41.940, 57.230, 11.280,  4.210,  0.980,  0.000, 31.830, 37.720, 96.940, 246, 209
632,  -0.094, -0.557,  0.868, -6.260, 55.430, 16.810,  4.760,  0.730,  0.060, 31.850, 37.860, 96.930, 246, 103
633,  -0.041, -0.555,  0.863, -44.740, 54.490, 20.470,  3.970,  0.980, -0.120, 31.830, 37.720, 96.930, 245, 136
634,  -0.046, -0.534,  0.791, -59.010, 53.850, 23.230,  4.330,  0.670,  0.120, 31.830, 37.730, 96.930, 249, 122
