maxAudio_max,acc_max,mag_max,gyro_max,maxAudio_min,acc_min,mag_min,gyro_min,maxAudio_skew,acc_skew,mag_skew,gyro_skew,maxAudio_kurtosis,acc_kurtosis,mag_kurtosis,gyro_kurtosis,maxAudio_sum,acc_sum,mag_sum,gyro_sum,maxAudio_mean,acc_mean,mag_mean,gyro_mean,maxAudio_std,acc_std,mag_std,gyro_std,maxAudio_var,acc_var,mag_var,gyro_var,class
6.60000e+01,9.99810e-01,7.85055e+01,4.81369e+00,6.00000e+00,9.98085e-01,7.72769e+01,4.38143e+00,5.94151e-01,-1.71426e-01,6.87237e-01,-9.04969e-01,4.45674e-01,-2.32423e-01,-1.21024e-01,3.58895e-01,2.74000e+02,8.99201e+00,6.99974e+02,4.17506e+01,3.04444e+01,9.99112e-01,7.77748e+01,4.63896e+00,1.84466e+01,5.73702e-04,3.95229e-01,1.36211e-01,3.40278e+02,3.29134e-07,1.56206e-01,1.85535e-02,0.00000e+00
8.30000e+01,1.00064e+00,7.82762e+01,4.90848e+00,3.00000e+00,9.99740e-01,7.74217e+01,4.55548e+00,9.24878e-01,5.52359e-01,3.65098e-01,1.21789e+00,1.08707e-01,-6.85866e-01,-9.54921e-01,1.67595e+00,3.38000e+02,9.00071e+00,7.00135e+02,4.21584e+01,3.75556e+01,1.00008e+00,7.77927e+01,4.68427e+00,2.62303e+01,3.08605e-04,3.14747e-01,1.06286e-01,6.88028e+02,9.52371e-08,9.90657e-02,1.12967e-02,0.00000e+00
7.90000e+01,1.00057e+00,7.86949e+01,4.80258e+00,-1.00000e+00,9.98912e-01,7.76756e+01,4.39483e+00,5.22041e-01,4.57075e-01,6.60939e-01,-1.85517e-01,-1.21814e+00,-1.87739e+00,1.07424e+00,-4.54936e-01,3.08000e+02,8.99622e+00,7.03099e+02,4.16567e+01,3.42222e+01,9.99580e-01,7.81221e+01,4.62853e+00,3.04950e+01,6.82345e-04,2.91942e-01,1.34046e-01,9.29944e+02,4.65594e-07,8.52299e-02,1.79684e-02,0.00000e+00
9.90000e+01,1.00168e+00,7.81911e+01,4.74274e+00,1.50000e+01,9.98085e-01,7.75256e+01,4.35378e+00,1.60230e+00,9.29326e-01,-4.58693e-02,5.01018e-03,2.28079e+00,6.58337e-01,-1.53612e+00,-1.55724e+00,3.55000e+02,8.99562e+00,7.00663e+02,4.09844e+01,3.94444e+01,9.99513e-01,7.78514e+01,4.55382e+00,2.69913e+01,1.09141e-03,2.50197e-01,1.48965e-01,7.28528e+02,1.19117e-06,6.25985e-02,2.21906e-02,0.00000e+00
4.40000e+01,9.99810e-01,7.84728e+01,4.67149e+00,-1.00000e+00,9.98912e-01,7.76268e+01,4.29537e+00,-6.14022e-01,-3.70615e-01,-4.06350e-01,-4.83802e-01,7.36189e-01,-2.27606e+00,-1.46920e+00,-7.87802e-01,2.34000e+02,8.99490e+00,7.02651e+02,4.06412e+01,2.60000e+01,9.99434e-01,7.80724e+01,4.51569e+00,1.38834e+01,4.21683e-04,3.17051e-01,1.28174e-01,1.92750e+02,1.77816e-07,1.00521e-01,1.64286e-02,0.00000e+00
7.10000e+01,9.99810e-01,7.86727e+01,4.85984e+00,9.00000e+00,9.98085e-01,7.78020e+01,4.55429e+00,7.66478e-01,-1.18258e-01,6.39080e-01,5.38192e-01,2.65353e+00,-9.77494e-01,-2.73237e-01,-7.37335e-01,3.22000e+02,8.99159e+00,7.03534e+02,4.22146e+01,3.57778e+01,9.99066e-01,7.81704e+01,4.69051e+00,1.66867e+01,6.21503e-04,2.82040e-01,1.02921e-01,2.78444e+02,3.86266e-07,7.95464e-02,1.05927e-02,0.00000e+00
1.38000e+02,1.00037e+00,7.86541e+01,4.73033e+00,-1.00000e+00,9.98016e-01,7.75439e+01,4.42828e+00,2.76054e-01,-7.53844e-01,8.31279e-01,-1.24560e+00,3.25290e-01,3.20478e-01,1.07928e+00,4.85911e-01,5.18000e+02,8.99533e+00,7.02000e+02,4.16330e+01,5.75556e+01,9.99482e-01,7.80000e+01,4.62588e+00,4.36667e+01,7.59421e-04,3.27261e-01,1.02608e-01,1.90678e+03,5.76720e-07,1.07100e-01,1.05284e-02,0.00000e+00
1.71000e+02,1.00092e+00,7.85946e+01,4.87377e+00,2.20000e+01,9.98356e-01,7.74394e+01,4.49806e+00,2.42295e+00,1.45650e+00,3.01321e-01,1.16911e+00,6.53156e+00,2.48156e+00,-9.90149e-01,9.19851e-02,5.06000e+02,8.99332e+00,7.01269e+02,4.16535e+01,5.62222e+01,9.99258e-01,7.79188e+01,4.62817e+00,4.54362e+01,7.53783e-04,3.93044e-01,1.30150e-01,2.06444e+03,5.68189e-07,1.54483e-01,1.69390e-02,0.00000e+00
1.08000e+02,9.99810e-01,7.82823e+01,4.75550e+00,2.70000e+01,9.98642e-01,7.74704e+01,4.29373e+00,1.98786e+00,1.33807e-01,3.85678e-02,-8.46954e-01,4.65682e+00,-2.06284e+00,-5.57934e-01,1.07461e-01,4.38000e+02,8.99285e+00,7.00805e+02,4.13348e+01,4.86667e+01,9.99206e-01,7.78673e+01,4.59275e+00,2.47235e+01,4.79187e-04,2.53589e-01,1.54342e-01,6.11250e+02,2.29621e-07,6.43074e-02,2.38216e-02,0.00000e+00
1.18000e+02,9.99810e-01,7.86304e+01,4.64763e+00,-1.00000e+00,9.98085e-01,7.76174e+01,4.43992e+00,-1.47790e-01,1.86874e-01,1.39276e+00,-5.31444e-01,-6.37489e-01,-9.59229e-01,2.17750e+00,-1.22492e+00,5.18000e+02,8.98925e+00,7.01652e+02,4.11261e+01,5.75556e+01,9.98806e-01,7.79614e+01,4.56957e+00,3.88912e+01,6.29572e-04,3.06105e-01,7.58544e-02,1.51253e+03,3.96360e-07,9.37004e-02,5.75389e-03,0.00000e+00
